,user_id,grade_id,sex,height,weight,bmi,usa_routes
39,2898.0,44.0,1,64,53,129.39453125,5.11a
50,3749.0,59.0,1,157,53,21.50188648626719,5.13a
69,4802.0,59.0,1,171,53,18.125235115078144,5.13a
74,5323.0,57.0,1,168,53,18.77834467120182,5.12d
78,5655.0,51.0,1,165,48,17.63085399449036,5.12a
85,6610.0,59.0,1,152,48,20.775623268698062,5.13a
93,7398.0,49.0,1,5,58,23199.999999999996,5.11d
96,7511.0,53.0,1,166,58,21.04804761213529,5.12b
98,7644.0,55.0,1,5,40,15999.999999999996,5.12c
104,8311.0,57.0,1,160,53,20.703124999999996,5.12d
114,9141.0,55.0,1,160,48,18.749999999999996,5.12c
120,9564.0,51.0,1,175,63,20.571428571428573,5.12a
124,9937.0,53.0,1,148,48,21.91380569758948,5.12b
129,10398.0,62.0,1,15,58,2577.777777777778,5.13b
147,11583.0,36.0,1,158,43,17.224803717352987,5.10a
149,11639.0,51.0,1,170,63,21.79930795847751,5.12a
157,12036.0,36.0,1,160,48,18.749999999999996,5.10a
178,13583.0,62.0,1,163,48,18.06616733787497,5.13b
193,14844.0,66.0,1,167,58,20.796729893506402,5.13d
196,15026.0,36.0,1,183,73,21.798202394816204,5.10a
201,15406.0,38.0,1,171,58,19.835162956123252,5.10b
202,15570.0,46.0,1,153,58,24.77679524969029,5.11b
209,16339.0,53.0,1,165,63,23.140495867768596,5.12b
212,16483.0,66.0,1,153,53,22.64086462471699,5.13d
213,16629.0,53.0,1,173,58,19.37919743392696,5.12b
218,16833.0,64.0,1,166,48,17.419073885905068,5.13c
224,17027.0,64.0,1,162,53,20.195092211553114,5.13c
228,17190.0,53.0,1,5,48,19199.999999999996,5.12b
234,17465.0,36.0,1,157,53,21.50188648626719,5.10a
248,18271.0,66.0,1,160,43,16.796874999999996,5.13d
256,18743.0,62.0,1,155,43,17.898022892819977,5.13b
276,20111.0,53.0,1,62,53,137.87721123829343,5.12b
298,21175.0,49.0,1,165,53,19.467401285583104,5.11d
299,21195.0,64.0,1,170,58,20.06920415224914,5.13c
301,21259.0,55.0,1,165,53,19.467401285583104,5.12c
304,21502.0,55.0,1,67,58,129.20472265537978,5.12c
309,21752.0,46.0,1,167,53,19.003908350962746,5.11b
313,22017.0,55.0,1,170,58,20.06920415224914,5.12c
315,22027.0,55.0,1,255,53,8.150711264898117,5.12c
329,22463.0,44.0,1,170,63,21.79930795847751,5.11a
335,22628.0,59.0,1,150,43,19.11111111111111,5.13a
339,22831.0,33.0,1,168,58,20.549886621315196,5.9
348,23405.0,40.0,1,176,58,18.72417355371901,5.10c
354,23740.0,66.0,1,160,53,20.703124999999996,5.13d
361,23953.0,46.0,1,173,53,17.70857696548498,5.11b
363,24046.0,57.0,1,165,58,21.30394857667585,5.12d
