,user_id,grade_id,sex,height,weight,bmi,usa_routes
0,69.0,62.0,0,183,73,21.798202394816204,5.13b
1,134.0,70.0,0,71,68,134.89387026383653,5.14b
2,160.0,55.0,0,190,83,22.991689750692522,5.12c
3,215.0,68.0,0,174,73,24.111507464658473,5.14a
4,312.0,59.0,0,180,73,22.530864197530864,5.13a
5,351.0,70.0,0,4,73,45625.0,5.14b
6,379.0,70.0,0,6,73,20277.777777777777,5.14b
7,392.0,59.0,0,135,68,37.311385459533604,5.13a
8,417.0,68.0,0,6,68,18888.88888888889,5.14a
9,439.0,62.0,0,181,78,23.808797045267237,5.13b
10,446.0,66.0,0,185,78,22.79035792549306,5.13d
11,452.0,77.0,0,178,68,21.461936624163616,5.15a
12,667.0,51.0,0,168,53,18.77834467120182,5.12a
13,823.0,68.0,0,178,73,23.04002019946976,5.14a
14,899.0,57.0,0,185,78,22.79035792549306,5.12d
15,1042.0,46.0,0,198,88,22.44668911335578,5.11b
16,1146.0,57.0,0,175,68,22.20408163265306,5.12d
17,1195.0,55.0,0,150,63,28.0,5.12c
18,1323.0,53.0,0,175,73,23.836734693877553,5.12b
19,1356.0,68.0,0,255,78,11.995386389850058,5.14a
20,1387.0,46.0,0,188,88,24.898143956541425,5.11b
21,1522.0,68.0,0,158,93,37.25364524915878,5.14a
22,1549.0,66.0,0,185,68,19.86851716581446,5.13d
23,1585.0,62.0,0,177,73,23.301094832264035,5.13b
24,1777.0,70.0,0,180,73,22.530864197530864,5.14b
25,1781.0,62.0,0,73,78,146.3689247513605,5.13b
26,1790.0,51.0,0,170,73,25.25951557093426,5.12a
27,1838.0,51.0,0,68,63,136.2456747404844,5.12a
28,1844.0,64.0,0,178,68,21.461936624163616,5.13c
29,2034.0,68.0,0,172,78,26.365603028664147,5.14a
30,2056.0,55.0,0,70,63,128.57142857142858,5.12c
31,2298.0,49.0,0,72,78,150.46296296296296,5.11d
32,2323.0,64.0,0,183,78,23.291229956104985,5.13c
33,2505.0,44.0,0,176,78,25.180785123966942,5.11a
34,2510.0,70.0,0,155,68,28.303850156087407,5.14b
35,2582.0,66.0,0,66,68,156.10651974288336,5.13d
36,2593.0,57.0,0,192,83,22.51519097222222,5.12d
37,2602.0,57.0,0,70,73,148.97959183673473,5.12d
38,2777.0,59.0,0,70,68,138.77551020408166,5.13a
40,2910.0,59.0,0,178,73,23.04002019946976,5.13a
41,2917.0,66.0,0,68,63,136.2456747404844,5.13d
42,2936.0,72.0,0,255,63,9.688581314878894,5.14c
43,3012.0,68.0,0,176,68,21.952479338842977,5.14a
44,3059.0,46.0,0,72,78,150.46296296296296,5.11b
45,3091.0,64.0,0,175,73,23.836734693877553,5.13c
